"total","year","disappearance","year.1","appearance","year.2","year_pair","MRS","tissue","group1","group2","group3"
0.038265306122449,3,0.0357142857142857,3,0.00255102040816327,3,"0-3",6.27615062761506,"Midgut",9,1,6
0.0508905852417303,6,0.0127226463104326,6,0.0381679389312977,6,"3-6",6.05230125523013,"Midgut",9,1,6
0.0522388059701493,9,0.0174129353233831,9,0.0348258706467662,9,"6-9",5.24476987447699,"Midgut",9,1,6
0.0891566265060241,12,0.0409638554216867,12,0.0481927710843374,12,"9-12",9.31589958158996,"Midgut",9,1,6
0.036319612590799,24,0,24,0.036319612590799,24,"12-24",18.428870292887,"Midgut",9,1,6
0.0845410628019324,48,0.0821256038647343,48,0.00241545893719807,48,"24-48",17.0543933054393,"Midgut",9,1,6
0.0338541666666667,72,0.0234375,72,0.0104166666666667,72,"48-72",18.1506276150628,"Midgut",9,1,6
0.040920716112532,0,0.010230179028133,0,0.030690537084399,0,"-1-0",14.7489539748954,"Midgut",9,2,1
0.051413881748072,3,0.0462724935732648,3,0.0051413881748072,3,"0-3",7.73221757322176,"Midgut",9,2,1
0.0463917525773196,6,0.00257731958762887,6,0.0438144329896907,6,"3-6",11.3535564853556,"Midgut",9,2,1
