ASV_ID	pCK1	pCK2	pCK3	pCK4	pCK5	pCK6	pCK7	pCK8	Y01	Y02	Y03	Y04	Y05	Y06	Y07	Y08	Y31	Y32	Y33	Y34	Y35	Y36	Y37	Y38	Y61	Y62	Y63	Y64	Y65	Y66	Y67	Y68	Y91	Y92	Y93	Y94	Y95	Y96	Y97	Y98	Y121	Y122	Y123	Y124	Y125	Y126	Y127	Y128	Y241	Y242	Y243	Y244	Y245	Y246	Y247	Y248
ASV_87	0	0	0	0	0	1	0	2	0	2	0	0	0	2	1	1	7	3	1	2	3	2	0	1	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	1	4	2	4	0	3	4	0	0	0	0	0	1	0	2
ASV_88	25	30	29	34	22	37	23	36	3	2	0	0	2	0	3	2	0	0	0	1	0	0	0	1	1	2	2	3	8	5	3	5	16	7	12	7	10	13	9	12	956	780	1079	923	763	950	1184	778	141	121	129	151	163	124	169	136
ASV_89	33	43	27	50	34	53	45	29	1	0	0	0	1	1	0	0	5	1	4	4	4	1	3	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	4	4	2	6	6	5	7	4	42	50	63	36	44	78	43	26
ASV_90	79	119	125	119	107	159	85	134	1	1	1	2	1	4	2	0	0	4	2	2	1	0	0	0	24	17	29	26	33	15	17	23	3	0	3	4	1	1	3	4	46	49	30	30	72	31	34	64	174	320	421	246	280	461	263	243
ASV_91	20	15	21	26	4	20	32	11	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	2	3	1	4	4	48	80	46	39	83	40	55	45	6	4	4	4	3	6	9	4
ASV_92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV_96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	3	0	0	0	0	0	0	0	1	0	0
ASV_97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_100	35	5	34	5	26	28	14	7	0	0	0	0	1	0	0	0	1	0	2	4	0	0	7	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0	1	0	1	4	2	2	3	2	1	2	17	22	27	26	16	40	27	19
ASV_101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_102	0	1	1	2	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	3	2	0	0	0	1	5	2	1	0	2	7	4	3
