"ASV_ID","Kingdom","Phylum","PC","Class","Order","Family","Genus","Species","last"
"ASV_4603","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_4604","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","o_Rhizobiales"
"ASV_4640","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_4608","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium","Unassigned","g_Photobacterium"
"ASV_4628","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_4622","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_4615","Bacteria","Fusobacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Propionigenium","Unassigned","g_Propionigenium"
"ASV_4646","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_4648","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_4632","Bacteria","Bacteroidetes","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_ovatus","s_Bacteroides_ovatus"
"ASV_4633","Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","o_Burkholderiales"
"ASV_4612","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Gammaproteobacteria"
"ASV_4631","Bacteria","Planctomycetes","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Rhodopirellula","Unassigned","g_Rhodopirellula"
"ASV_4653","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_4629","Bacteria","Verrucomicrobia","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseibacillus","Unassigned","g_Roseibacillus"
"ASV_4618","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unassigned","g_Vibrio"
"ASV_4616","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Unassigned","Spongiibacter","Spongiibacter_marinus","g_Spongiibacter"
"ASV_4643","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_4645","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium","Rubellimicrobium_roseum","s_Rubellimicrobium_roseum"
"ASV_4624","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Gammaproteobacteria"
"ASV_4626","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Unassigned","Unassigned","f_Moraxellaceae"
"ASV_4625","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_4649","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseivivax","Unassigned","g_Roseivivax"
"ASV_4650","Bacteria","Proteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","p_Proteobacteria"
"ASV_4656","Bacteria","Bacteroidetes","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","Terrimonas_lutea","s_Terrimonas_lutea"
